Primary Emotion,Bible Verse,Verse Text,Explanation
curious_24,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_25,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_26,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_27,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_28,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_29,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_30,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_31,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_32,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_33,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_34,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_35,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_36,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_37,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_38,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_39,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_40,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_41,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_42,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_43,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_44,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_45,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_46,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_47,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_48,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_49,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_50,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_51,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_52,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_53,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_54,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_55,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_56,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_57,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_58,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_59,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_60,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_61,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_62,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_63,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_64,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_65,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_66,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_67,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_68,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_69,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_70,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_71,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_72,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_73,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_74,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_75,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_76,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_77,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_78,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_79,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_80,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_81,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_82,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_83,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_84,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_85,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_86,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_87,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_88,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_89,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_90,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_91,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_92,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_93,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_94,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_95,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_96,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_97,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_98,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_99,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_100,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_101,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_102,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_103,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
curious_104,James 1:5,"If any of you lacks wisdom, ask God...",Ask and He will answer with wisdom.
fulfilled_105,Psalm 37:4,Delight yourself in the Lord...,God fulfills the deepest desires of your heart.
creative_106,Exodus 35:31,"He has filled him with the Spirit of God, with wisdom, with understanding...",Creativity is a gift from the Creator.
uplifted_107,2 Corinthians 4:16,"Though outwardly we are wasting away, inwardly we are being renewed day by day.","You are being renewed, lifted daily in Christ."
balanced_108,Ecclesiastes 3:1,"There is a time for everything, and a season for every activity under the heavens.",God gives order and timing to all things.
content_109,Philippians 4:11,I have learned to be content whatever the circumstances.,True peace comes from contentment in Christ.
cheerful_110,Proverbs 17:22,A cheerful heart is good medicine...,A cheerful spirit brings healing.
radiant_111,Psalm 34:5,Those who look to him are radiant...,Trust in God lights up your life.
confident_112,Hebrews 10:35,So do not throw away your confidence...,Your faith builds holy confidence.
renewed_113,Isaiah 40:31,But those who hope in the Lord will renew their strength...,God refreshes your soul.
Accepting,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your accepting moments and draws near to comfort.
Open,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your open moments and draws near to comfort.
Calm,John 14:27,Peace I leave with you; my peace I give you.,Jesus offers us a peace that calms every storm.
Centered,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your centered moments and draws near to comfort.
Patient,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your patient moments and draws near to comfort.
Present,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your present moments and draws near to comfort.
Relaxed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your relaxed moments and draws near to comfort.
Serene,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your serene moments and draws near to comfort.
Trusting,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your trusting moments and draws near to comfort.
Amazed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your amazed moments and draws near to comfort.
Awe,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your awe moments and draws near to comfort.
Bliss,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your bliss moments and draws near to comfort.
Delighted,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your delighted moments and draws near to comfort.
Eager,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your eager moments and draws near to comfort.
Ecstatic,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your ecstatic moments and draws near to comfort.
Enchanted,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your enchanted moments and draws near to comfort.
Energized,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your energized moments and draws near to comfort.
Engaged,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your engaged moments and draws near to comfort.
Enthusiastic,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your enthusiastic moments and draws near to comfort.
Happy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your happy moments and draws near to comfort.
Inspired,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your inspired moments and draws near to comfort.
Invigorated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your invigorated moments and draws near to comfort.
Lively,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your lively moments and draws near to comfort.
Passionate,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your passionate moments and draws near to comfort.
Playful,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your playful moments and draws near to comfort.
Refreshed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your refreshed moments and draws near to comfort.
Rejuvenated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your rejuvenated moments and draws near to comfort.
Satisfied,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your satisfied moments and draws near to comfort.
Thrilled,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your thrilled moments and draws near to comfort.
Vibrant,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your vibrant moments and draws near to comfort.
Agitated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your agitated moments and draws near to comfort.
Aggravated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your aggravated moments and draws near to comfort.
Contempt,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your contempt moments and draws near to comfort.
Cynical,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your cynical moments and draws near to comfort.
Disdain,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your disdain moments and draws near to comfort.
Disgruntled,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your disgruntled moments and draws near to comfort.
Disturbed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your disturbed moments and draws near to comfort.
Edgy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your edgy moments and draws near to comfort.
Exasperated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your exasperated moments and draws near to comfort.
Furious,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your furious moments and draws near to comfort.
Grouchy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your grouchy moments and draws near to comfort.
Hostile,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your hostile moments and draws near to comfort.
Impatient,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your impatient moments and draws near to comfort.
Irritated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your irritated moments and draws near to comfort.
Irate,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your irate moments and draws near to comfort.
Moody,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your moody moments and draws near to comfort.
On edge,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your on edge moments and draws near to comfort.
Outraged,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your outraged moments and draws near to comfort.
Pissed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your pissed moments and draws near to comfort.
Upset,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your upset moments and draws near to comfort.
Vindictive,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your vindictive moments and draws near to comfort.
Adventurous,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your adventurous moments and draws near to comfort.
Brave,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your brave moments and draws near to comfort.
Capable,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your capable moments and draws near to comfort.
Daring,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your daring moments and draws near to comfort.
Determined,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your determined moments and draws near to comfort.
Grounded,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your grounded moments and draws near to comfort.
Proud,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your proud moments and draws near to comfort.
Strong,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your strong moments and draws near to comfort.
Worthy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your worthy moments and draws near to comfort.
Valiant,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your valiant moments and draws near to comfort.
Affectionate,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your affectionate moments and draws near to comfort.
Caring,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your caring moments and draws near to comfort.
Compassion,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your compassion moments and draws near to comfort.
Empathy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your empathy moments and draws near to comfort.
Safe,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your safe moments and draws near to comfort.
Warm,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your warm moments and draws near to comfort.
Exploring,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your exploring moments and draws near to comfort.
Fascinated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your fascinated moments and draws near to comfort.
Interested,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your interested moments and draws near to comfort.
Intrigued,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your intrigued moments and draws near to comfort.
Involved,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your involved moments and draws near to comfort.
Stimulated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your stimulated moments and draws near to comfort.
Anguish,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your anguish moments and draws near to comfort.
Depressed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your depressed moments and draws near to comfort.
Despondent,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your despondent moments and draws near to comfort.
Forlorn,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your forlorn moments and draws near to comfort.
Gloomy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your gloomy moments and draws near to comfort.
Grief,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your grief moments and draws near to comfort.
Heartbroken,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your heartbroken moments and draws near to comfort.
Longing,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your longing moments and draws near to comfort.
Melancholy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your melancholy moments and draws near to comfort.
Sorrow,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your sorrow moments and draws near to comfort.
Teary,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your teary moments and draws near to comfort.
Unhappy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your unhappy moments and draws near to comfort.
Weary,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your weary moments and draws near to comfort.
Yearning,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your yearning moments and draws near to comfort.
Aloof,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your aloof moments and draws near to comfort.
Bored,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your bored moments and draws near to comfort.
Distant,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your distant moments and draws near to comfort.
Empty,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your empty moments and draws near to comfort.
Indifferent,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your indifferent moments and draws near to comfort.
Isolated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your isolated moments and draws near to comfort.
Lethargic,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your lethargic moments and draws near to comfort.
Listless,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your listless moments and draws near to comfort.
Removed,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your removed moments and draws near to comfort.
Resistant,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your resistant moments and draws near to comfort.
Shut Down,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your shut down moments and draws near to comfort.
Uneasy,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your uneasy moments and draws near to comfort.
Withdrawn,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your withdrawn moments and draws near to comfort.
Humiliated,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your humiliated moments and draws near to comfort.
Inhibited,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your inhibited moments and draws near to comfort.
Mortified,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your mortified moments and draws near to comfort.
Self-conscious,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your self-conscious moments and draws near to comfort.
Useless,Psalm 34:18,The Lord is close to the brokenhearted and saves those who are crushed in spirit.,God sees you in your useless moments and draws near to comfort.
